Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
14,Fc2,3,2.684581299387429,Target,03.12.2020
14,C3,3,1.279840407536005,Target,03.12.2020
14,Cz,3,3.6565380322041054,Target,03.12.2020
14,C4,3,2.004123324730479,Target,03.12.2020
14,Pz,3,-0.4161578949229561,Target,03.12.2020
14,Fz,4,2.383545370335436,Target,03.12.2020
14,Fc1,4,3.485248127728611,Target,03.12.2020
14,Fc2,4,1.956949155767847,Target,03.12.2020
14,C3,4,2.742368788199774,Target,03.12.2020
14,Cz,4,2.644952072765414,Target,03.12.2020
14,C4,4,1.322655746167274,Target,03.12.2020
14,Pz,4,2.40596016470784,Target,03.12.2020
14,Fz,5,0.6416460425220347,Target,03.12.2020
14,Fc1,5,1.2693113804242246,Target,03.12.2020
14,Fc2,5,1.27956036058836,Target,03.12.2020
14,C3,5,0.5273752089725938,Target,03.12.2020
14,Cz,5,2.941791302315101,Target,03.12.2020
14,C4,5,2.009186285279997,Target,03.12.2020
14,Pz,5,0.4668226480335899,Target,03.12.2020
14,Fz,6,2.948747237729105,Target,03.12.2020
14,Fc1,6,3.4604782818201185,Target,03.12.2020
14,Fc2,6,1.9928991885343064,Target,03.12.2020
14,C3,6,3.155117200533385,Target,03.12.2020
14,Cz,6,3.0426271723523803,Target,03.12.2020
14,C4,6,1.411837186406273,Target,03.12.2020
14,Pz,6,2.735106067415266,Target,03.12.2020
14,Fz,1,-1.0415417423781264,nonTarget,03.12.2020
14,Fc1,1,-1.6200480277965157,nonTarget,03.12.2020
14,Fc2,1,-0.8299688958072571,nonTarget,03.12.2020
14,C3,1,-1.1351222201640652,nonTarget,03.12.2020
14,Cz,1,-0.924644962859756,nonTarget,03.12.2020
14,C4,1,-0.9105198452489692,nonTarget,03.12.2020
14,Pz,1,-0.9534273631571312,nonTarget,03.12.2020
14,Fz,2,0.617437753236839,nonTarget,03.12.2020
14,Fc1,2,0.4926285500947526,nonTarget,03.12.2020
14,Fc2,2,0.4975320254215894,nonTarget,03.12.2020
14,C3,2,0.6728302324024118,nonTarget,03.12.2020
14,Cz,2,0.3209391566983811,nonTarget,03.12.2020
14,C4,2,-0.1070684777447343,nonTarget,03.12.2020
14,Pz,2,0.535009698950232,nonTarget,03.12.2020
14,Fz,3,-0.4557411074432986,nonTarget,03.12.2020
14,Fc1,3,-0.3324924463674963,nonTarget,03.12.2020
14,Fc2,3,-0.4427941054059527,nonTarget,03.12.2020
14,C3,3,-0.7980108257396799,nonTarget,03.12.2020
14,Cz,3,-0.3788652715462825,nonTarget,03.12.2020
14,C4,3,-0.7153663034861131,nonTarget,03.12.2020
14,Pz,3,-0.1710396488169717,nonTarget,03.12.2020
14,Fz,4,0.1435161931390603,nonTarget,03.12.2020
14,Fc1,4,0.0187372753688844,nonTarget,03.12.2020
14,Fc2,4,-0.5235931126819675,nonTarget,03.12.2020
14,C3,4,0.1723143781904354,nonTarget,03.12.2020
14,Cz,4,-0.8758277100874627,nonTarget,03.12.2020
14,C4,4,-0.643881544042391,nonTarget,03.12.2020
14,Pz,4,-1.3331104639953717,nonTarget,03.12.2020
14,Fz,5,0.3609763030006834,nonTarget,03.12.2020
14,Fc1,5,0.0887025132503468,nonTarget,03.12.2020
14,Fc2,5,-0.0039508858123441,nonTarget,03.12.2020
14,C3,5,-0.4318017180685672,nonTarget,03.12.2020
14,Cz,5,-0.6730819517347915,nonTarget,03.12.2020
14,C4,5,0.2476124570074253,nonTarget,03.12.2020
14,Pz,5,-0.7979198133121995,nonTarget,03.12.2020
14,Fz,6,0.5391324916568647,nonTarget,03.12.2020
14,Fc1,6,0.227416644957675,nonTarget,03.12.2020
14,Fc2,6,0.2903587912529834,nonTarget,03.12.2020
14,C3,6,0.4716476055390984,nonTarget,03.12.2020
14,Cz,6,-0.2943211081409786,nonTarget,03.12.2020
14,C4,6,0.0926124125416306,nonTarget,03.12.2020
14,Pz,6,-0.4541899450440591,nonTarget,03.12.2020
15,Fz,1,1.7937195973921014,Target,05.12.2020
15,Fc1,1,1.8507387881191013,Target,05.12.2020
15,Fc2,1,2.236909988968474,Target,05.12.2020
15,C3,1,1.0896245149560029,Target,05.12.2020
15,Cz,1,2.171019331495141,Target,05.12.2020
15,C4,1,2.268270635626556,Target,05.12.2020
15,Pz,1,-1.2934298826041466,Target,05.12.2020
15,Fz,2,-0.3802834839210762,Target,05.12.2020
15,Fc1,2,1.589433796307483,Target,05.12.2020
15,Fc2,2,0.2462861656692912,Target,05.12.2020
15,C3,2,2.286112059516563,Target,05.12.2020
15,Cz,2,1.91605346976142,Target,05.12.2020
15,C4,2,0.782427532845672,Target,05.12.2020
15,Pz,2,0.4610849042618461,Target,05.12.2020
15,Fz,3,1.665061481552101,Target,05.12.2020
15,Fc1,3,2.0492858964546974,Target,05.12.2020
15,Fc2,3,2.040775085649408,Target,05.12.2020
15,C3,3,1.4700233479979243,Target,05.12.2020
15,Cz,3,2.681468698035511,Target,05.12.2020
15,C4,3,2.5876806573557465,Target,05.12.2020
15,Pz,3,1.3970074825308172,Target,05.12.2020
15,Fz,4,2.756752807812449,Target,05.12.2020
15,Fc1,4,2.6948281093942543,Target,05.12.2020
15,Fc2,4,3.1895962606796013,Target,05.12.2020
15,C3,4,3.1479414736132507,Target,05.12.2020
15,Cz,4,1.8723377385591664,Target,05.12.2020
15,C4,4,2.3766071560698574,Target,05.12.2020
15,Pz,4,-2.294927365796094,Target,05.12.2020
15,Fz,5,0.7799802982758741,Target,05.12.2020
15,Fc1,5,1.3916863838549896,Target,05.12.2020
15,Fc2,5,1.254314392596763,Target,05.12.2020
15,C3,5,1.841110509385989,Target,05.12.2020
15,Cz,5,3.0176502449842006,Target,05.12.2020
15,C4,5,0.3948555373365906,Target,05.12.2020
15,Pz,5,-0.0151734297602827,Target,05.12.2020
15,Fz,6,1.9087853158838997,Target,05.12.2020
15,Fc1,6,3.032377539077139,Target,05.12.2020
15,Fc2,6,2.0037742784892183,Target,05.12.2020
15,C3,6,3.755275262760173,Target,05.12.2020
15,Cz,6,3.104854225857263,Target,05.12.2020
15,C4,6,1.6989635990934884,Target,05.12.2020
15,Pz,6,1.808734390269632,Target,05.12.2020
15,Fz,1,-0.4557150403222808,nonTarget,05.12.2020
15,Fc1,1,-0.6872321626713536,nonTarget,05.12.2020
15,Fc2,1,0.081802092792586,nonTarget,05.12.2020
15,C3,1,-0.8371874880860961,nonTarget,05.12.2020
15,Cz,1,-0.5165784524140102,nonTarget,05.12.2020
15,C4,1,-0.0887059330880832,nonTarget,05.12.2020
15,Pz,1,0.0435566262396304,nonTarget,05.12.2020
15,Fz,2,0.142243520338902,nonTarget,05.12.2020
15,Fc1,2,-0.4203374122561905,nonTarget,05.12.2020
15,Fc2,2,-0.6005923280213037,nonTarget,05.12.2020
15,C3,2,-0.5252542646704375,nonTarget,05.12.2020
15,Cz,2,-0.7800346254640274,nonTarget,05.12.2020
15,C4,2,-0.0379323938821504,nonTarget,05.12.2020
15,Pz,2,-1.2362388866924916,nonTarget,05.12.2020
15,Fz,3,0.6848645925481797,nonTarget,05.12.2020
15,Fc1,3,-0.4733322171682519,nonTarget,05.12.2020
15,Fc2,3,0.696168214963937,nonTarget,05.12.2020
15,C3,3,-1.253371531586493,nonTarget,05.12.2020
15,Cz,3,-0.3492028249515044,nonTarget,05.12.2020
15,C4,3,0.3175417958099788,nonTarget,05.12.2020
15,Pz,3,-0.0251231628616618,nonTarget,05.12.2020
15,Fz,4,0.5056004264706335,nonTarget,05.12.2020
15,Fc1,4,0.5463855145222198,nonTarget,05.12.2020
15,Fc2,4,0.071807050793146,nonTarget,05.12.2020
